Title,Condition,Price,Shipping,Location,Sold Date,Rating,Sold After 2/22/26,US Seller,Log of Price,Log of Shipping
2019-20 O-Pee-Chee Retro Black 611 Jack Hughes Rookie 40/100 PSA 8 NM-MT,New (Other),150.0,5.62,Located in United States,2026-03-19,,1,1,5.0106352940962555,1.890095369948917
2019-20 Upper Deck Young Guns Canvas Jack Hughes PSA 10 #C239 New Jersey Devils,New (Other),150.0,8.5,Located in United States,2026-03-18,5.0,1,1,5.0106352940962555,2.2512917986064953
Jack Hughes 2019-20 Upper Deck Young Guns #201 PSA 10 Gem Mint Rookie Card RC YG,New (Other),212.03,13.88,Located in Canada,2026-03-17,,1,0,5.356727774094459,2.700018029404946
Jack Hughes 2019-20 Upper Deck Young Guns Rookie #201 PSA 10 New Jersey Devils,New (Other),291.37,7.3,Located in Canada,2026-03-17,,1,0,5.674593937191527,2.1162555148025524
Jack Hughes 2019-2020 Upper Deck Young Guns PSA 10 #201 GEM MINT - AMERICAN HERO,New (Other),275.0,6.24,Located in United States,2026-03-17,5.0,1,1,5.616771097666572,1.979621206397625
2019-20 Upper Deck Series 2 UD Canvas Young Guns Jack Hughes PSA 10 RC DEVILS,New (Other),150.0,5.72,Located in United States,2026-03-17,5.0,1,1,5.0106352940962555,1.9050881545350582
Jack Hughes 2019-20 Upper Deck Series 1 #201 Young Guns Rookie PSA 10 Gem Mint,New (Other),219.34,19.95,Located in Canada,2026-03-16,,1,0,5.3906230373320625,3.0421386463681466
2019-20 Upper Deck Hockey 201 Jack Hughes Rookie Card Young Guns PSA 10 Gem Mint,New (Other),219.99,8.95,Located in United States,2026-03-16,5.0,1,1,5.393582090773818,2.2975725511705014
2019 Jack Hughes RC PSA 10 -more rare than Young Guns Rookie Serial # NHL GEM,New (Other),449.0,5.49,Located in United States,2026-03-16,,1,1,6.1070228877422545,1.8702625307159986
JACK HUGHES 2019-20 Upper Deck YOUNG GUNS Clear Cut ROOKIE PSA 10 Gem Mint SP RC,New (Other),1678.0,18.24,Located in Canada,2026-03-16,,1,0,7.425357887027151,2.9569914452375605
